tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
3.8,-1.3,2.1,39.1,-1.7,2.7,9
1.8,-1.8,2.2,42,-2.3,2.7,8.9
-0.4,-4.7,1.8,42.3,-3.4,2.6,8.9
-0.7,-4.7,1.8,43,-3.3,2.6,8.7
1.6,-3,2.4,48.4,-2.6,2.6,8.7
2.9,-2.8,2.2,45.8,-3.1,2.5,8.6
2.8,-0.8,2.4,42.1,-2.2,2.5,8.5
4,1.3,3.4,51.9,0.4,2.5,8.4
-1.2,-4.2,2.7,59.4,-1.2,2.4,8.3
-4.8,-7.5,1.8,52,-2.9,2.4,8.3
-7.4,-11.1,1.3,49.8,-5.6,2.2,8.1
-5.4,-10.2,1,35.4,-6.1,2,8
-1.2,-4.4,3,67.3,-2.8,2,7.9
5.4,0.6,4,64.1,-1.1,2,7.9
7.7,4.7,5.4,63.9,1.5,2,7.8
6.8,3.5,4.6,59.1,0.7,2,7.7
8.7,4.5,5.4,64.1,1.7,2,7.6
4.5,2.1,4.3,59.6,1.3,2,7.6
5.5,1,2.8,43,0.3,1.9,7.4
6.9,2.2,4.2,57.6,0.2,2,7.5
5.5,0.4,2.2,36.6,-0.5,2,7.4
4,0.2,3.5,56.5,-0.2,2,7.3
-5.3,-11.7,1.1,42,-4.4,2,7.2
-10.7,-14.2,0.7,31.6,-8.3,1.9,7.1
-9.5,-14,0.7,32,-8.5,1.7,7
-10.7,-14.8,0.7,34.9,-9.3,1.4,7
-3.5,-9.9,1.1,37.4,-7.5,1.2,6.9
-1.2,-6.3,1.4,36,-4.4,1.1,6.9
-4.7,-8.5,1.1,35,-6.2,1,6.8
-0.8,-5.3,2.8,62,-4.6,0.8,6.8
0,-2.6,2.7,54.5,-1.8,1,6.7
1.2,-4,1.9,44.1,-3.1,0.9,6.6
3.8,-2.4,2.5,51.1,-2.8,0.9,6.5
-2.1,-7.3,1.7,47,-3.7,0.9,6.4
-5.2,-9.5,1.2,40.9,-6.6,0.7,6.3
-5.1,-9.4,1.1,37.8,-6.8,0.5,6.3
-5.8,-10.1,1,36.5,-6.9,0.3,6.3
-1.6,-8,1.2,39.8,-6.1,0.1,6.2
2,-4.4,1.8,43.3,-3.9,0.1,6.1
6.1,0.4,2.8,43.9,-1.3,0.2,6
3.2,-0.5,3.1,47.4,0.2,0.4,6
-2.2,-6.1,1.7,42.5,-3.4,0.4,5.9
-1.8,-5.8,1.7,40.8,-3.2,0.3,5.8
4.3,-0.8,3.2,54.5,-1.5,0.3,5.7
8.7,3.5,4.1,51,1.7,0.5,5.7
4,-0.7,1.6,28,0.9,0.5,5.6
4.9,-1.1,2.3,40.1,-0.1,0.5,5.5
1.4,-3,1.2,25.6,-0.8,0.5,5.5
5.2,-0.4,1.6,26.9,-0.1,0.6,5.5
6.8,1.8,3.4,48.6,1.1,0.6,5.4
5.5,0.9,2.5,41,1.2,0.6,5.4
4.4,-0.9,1.7,31.5,0.2,0.6,5.3
5.4,1.3,4,59,0.2,0.7,5.3
8.6,4.2,6.6,81.1,2.4,0.7,5.5
7.2,2.4,3.6,49.4,2.8,0.8,5.3
7.9,1.9,2.7,40.6,2.7,0.7,5.2
10.4,3.1,3,43.1,2.5,0.8,5.2
6.9,4.2,4.1,48.8,0.4,0.8,5.2
7.8,4.6,6.5,73.3,2,0.8,5.2
3,-0.2,3.9,61.9,2.5,0.7,5.2
5.4,-0.7,1.9,34,1.1,0.8,5.1
16.2,7.9,4,38.1,5.3,0.8,5.1
11.9,9.8,10.7,89.1,7.6,0.9,5
11.4,5.5,6,67.5,6.7,0.9,5
10.9,4.5,3.7,46.8,4.1,1.4,4.8
10.7,6.4,5.1,54,4.4,2.3,4.8
9.7,4.6,6.4,76,6.5,3.2,4.8
9.6,4.5,5.3,63.3,4.3,3.8,4.9
9.7,4.6,5.5,65.8,5,3.9,5
12.2,6.4,4.6,51.3,7.2,4.5,5.2
15.5,8,5,45.8,6.6,5,5.3
18.8,12.4,9,60.5,10.6,5.5,5.5
22.1,17,11.1,58.8,14.8,6.7,5.7
16.6,12.4,13.3,92.1,12.2,8.2,5.9
12.2,7.1,4.6,46.9,9.6,8.5,6
14,6.6,4.6,48,7.9,8.2,6.3
12.5,8.2,6,55.9,8.8,8.1,6.6
10.4,8,6.9,64.5,7.5,8.2,6.9
9.1,4.7,3.4,39.9,5.2,7.7,7.1
5.3,3,4.5,64.1,3.2,7.3,7.3
11.6,4.9,5,61.5,7.3,6.8,7.4
12.5,6.1,4.9,55.3,7.6,7.1,7.6
13.1,7.6,6.5,61.9,9.5,7.6,7.7
16.9,9.6,7.5,65.6,11.2,8.1,7.8
18.1,11,7.8,64.5,12.2,8.7,7.8
20,13.3,9.3,61.1,12.6,9.3,7.9
19,14,10.4,66.4,13.1,9.9,8.1
21.1,15.4,11.2,66.3,15.1,10.4,8.3
21.9,14.8,8.8,55.6,14.9,10.8,8.4
20.1,14,8,52.9,14.5,11.3,8.6
18.5,15.6,12.3,68.8,14.3,11.6,8.8
23.7,18.4,13.1,64,17.8,11.9,9
21.2,17.8,14.7,72.9,17.2,12.6,9.8
18.2,13.4,10.1,67,15.9,13,9.4
9.5,7.6,9.4,90.6,8.9,13,9.7
8.6,5.8,6.7,71.6,11.6,11.9,9.9
8.6,4.2,3.7,45.5,6.2,11.1,10.1
7.9,3.9,4.7,59.6,5.2,10.3,10.3
15.4,7.9,5.4,57.9,10,9.6,10.4
21.9,15.1,9,51,13,10.2,10.4
17.3,12.6,6.9,49.4,15.1,11.2,10.3
19.6,13.3,4.3,30.5,13.6,11.7,10.3
19.3,14.6,3.7,22.9,12.1,11.8,10.4
14.8,9,8.9,78.8,9.4,11.9,10.6
14.2,9.5,7.6,65.5,11.4,11.3,10.6
18.8,11.6,5.4,41.9,13.3,11.3,10.7
20.1,12.9,5.4,37.9,14.2,11.7,10.7
19.3,12.4,4.9,35.4,16.2,12.1,10.8
20.5,14,5.9,38.8,17.5,12.4,10.9
24.3,18.4,9.3,46,20.6,12.7,11
25.6,18.7,6,32,21.4,13.5,11
21,15.5,9.7,57.4,14.4,14.1,11.2
10.7,9.3,10.9,93.9,9.9,13.8,11.4
16.1,12.1,8.8,63.3,12.6,12.7,11.9
23.3,14.6,5.9,37.8,16.1,12.5,11.9
22.1,14.9,8.3,51.9,17.9,13.2,12
23.3,15.7,9.1,52.9,19.3,13.6,12
21.7,15.4,8,49,20,14.2,12
22.9,16.2,7.4,43.1,20.5,14.5,12.1
25,19.2,13.6,61.6,23,14.9,12.2
23.3,20.4,17.3,72.8,23.5,15.8,12.3
19.7,15.1,15.8,90.4,16,16.3,12.8
14.7,11.2,8.1,62.4,11.4,15.5,12.6
20,14.1,7,45.5,17.9,14.7,12.8
24.6,18.3,9.6,46.8,20.4,15,13
20.7,16.6,16.1,86.4,17.2,15.7,13.1
25.5,19.2,12.5,60.3,18.4,15.9,13.2
22.9,17.5,10,50.9,21.3,16.3,13.3
21.8,15.7,8.8,50.4,21.7,16.4,13.5
21.4,15.4,11.5,67.4,22.5,16.6,13.6
21.3,16.1,10.5,59.8,21,17,13.7
16.1,14.2,14.4,89.3,14.6,17.3,13.9
20,15.8,14.5,82.5,18.4,16.6,14.1
24.5,18.2,14.5,71.4,21.2,16.8,14.2
29.3,23.2,15.5,56.4,25.3,17.3,14.3
24.4,22.3,25.1,93.8,21.6,18.3,14.5
23.5,20.9,24,97,21.2,19.3,15.1
19.3,16.3,16.3,86.8,18.2,19.7,16
24.7,17.6,9.1,47.5,21.2,18.8,16.1
22.6,17,6.1,32.1,16.9,18.9,16.1
23.7,17.8,9.1,43.9,21.8,18.1,16.1
23.2,18.1,15.5,75.5,19,18.3,16.1
23.3,17.3,10.7,57.1,21.9,18.3,16
23.7,18.3,9.6,54.8,22.1,18.6,16
26.2,19.7,10.1,47.4,23.1,18.8,16.1
29.6,21.8,12.3,50.1,26.3,19,16.1
24.7,20.3,11,47.4,23.6,19.7,16.3
29.1,22.3,13.2,49.8,27.9,19.6,16.3
25.9,21.4,17.5,69.3,25.2,20.2,16.5
24.7,20.2,16.2,69.8,24.8,20.4,16.6
27.6,20.9,13.9,58.9,28.3,20.5,16.6
30.2,23.8,14.1,50.4,30.6,20.8,16.7
30.1,23.4,12,44.5,30.8,21.3,16.8
30.8,24,10.8,39.4,31,21.6,17
28.3,22.6,13.6,50.1,27.4,21.8,17.2
29.2,23.7,14.7,52.5,30.7,21.9,17.4
27.9,23,17.4,62.9,30.9,22.2,17.6
29.4,22.2,17.9,69.3,30,22.6,17.8
27,21.9,17.5,68,31.1,22.8,17.9
30.1,23.7,17,60.6,29.7,22.7,18.1
24.9,21.3,14.9,59.9,23.7,22.9,18.3
23.9,20.2,15.7,67.3,24.5,22.4,18.4
27.1,21.3,16,65.5,26.2,21.9,18.5
27,22,16.7,64,25.3,22.1,18.6
25.1,21.6,19,74.9,22.7,22.2,18.8
27,21.7,15.2,60.8,24,21.9,18.9
28.7,22.5,15.1,56.4,26.8,22.1,18.9
27.5,22.8,18.2,66.9,25.3,22.6,19
30.8,24.8,16.4,54.9,30.4,22.5,19
27.2,22.4,16.2,61.3,26.4,23,19.1
28.4,22.7,18.3,68.1,28.9,23,19.2
28.7,23.7,17,60.1,32.2,23.3,19.3
31,25,12.9,45.1,30.6,23.6,19.3
28.9,24.5,15.3,50.6,30.7,23.9,19.5
32.1,25.2,18.8,62.8,32.8,24,19.6
32.9,27.1,19.5,57.1,31.7,24.4,19.8
26.9,22.3,23.5,88.3,22.5,24.8,20
25.5,22.3,21.8,81.9,23.7,23.7,20.1
27.3,23.3,24.1,85.1,24.5,23.7,20.3
29.1,24.7,24,78.5,26.6,23.7,20.7
27.9,24.4,25.5,83.8,24.7,24.1,20.9
