tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
-0.6,-5,2.1,49.5,-3.9,2.6,9.1
0.2,-4.9,1.7,42.8,-3.3,2.4,8.9
3.2,-3.5,1.8,38.8,-2.6,2.3,8.8
4.1,-1.1,3.3,55.5,-1.4,2.2,8.7
1.1,-2.8,2,40.3,-1.2,2.2,8.6
2.7,-2.8,1.7,35,-1.2,2,8.4
3.1,-1.9,2.4,46.4,-2,2,8.3
0.5,-3.5,1.4,31,-2,1.9,8.2
1.3,-4.7,1.2,28.8,-4.1,1.8,8.1
3,-0.6,3,48.8,-0.7,1.8,8
7.2,2.4,4.2,58.8,1.2,1.8,7.9
8,2.8,3.5,47.6,2.6,1.8,7.8
7.6,1.2,3.5,54.3,0.5,1.8,7.7
5.3,1.4,4.6,68.6,-0.3,1.8,7.6
2.6,-1.7,3.3,58.8,0.7,1.8,7.5
-1.1,-5.2,1.9,45.9,-1.8,1.8,7.4
4,-0.3,2.6,45.8,0.7,1.8,7.3
6.7,0.6,2.9,44,-0.3,1.7,7.3
8.5,3.6,4.7,59.8,2.1,1.8,7.2
4,-1.4,2.2,38.5,1,1.7,7.2
4.2,-1.2,3.4,57.8,-2.6,1.7,7.1
7.1,1.7,4.3,62,-0.7,1.7,7
7,2,3.3,48.9,1.3,1.7,7
6.5,0.1,2,34.9,0.2,1.7,6.9
2.6,-1.2,1.6,27.6,0,1.7,6.9
2.4,-2.5,1.5,30.9,-0.6,1.6,6.8
5.1,-0.1,3.3,52.5,-0.4,1.6,6.7
4.5,1.2,2.9,40.4,2.1,1.6,6.7
7,-0.2,2.1,35.5,0.3,1.6,6.7
6.6,1.8,3.9,54.6,1.6,1.6,6.6
2.3,-2,1.6,29,0.6,1.7,6.6
2.8,-2.1,2.6,47.6,-2,1.6,6.5
6.1,1.4,4,60,-0.2,1.6,6.5
4.9,3.3,7.2,92.9,2.2,1.7,6.5
3,-0.6,2.3,40.4,1.2,1.6,6.4
10.1,2.8,2.6,37.1,1.9,1.5,6.4
9.3,5.1,5,54.9,2.5,1.5,6.3
6.3,-2.1,2.7,45.5,2.4,1.6,6.3
-1.3,-6.1,1.2,31.5,-2.4,1.5,6.2
-1.9,-5.4,1.2,30,-2.2,1.5,6.2
-1.9,-5,1.3,31.3,-2.6,1.6,6.2
0.2,-3,1.7,34.9,-0.6,1.6,6.2
3.7,-0.6,2.1,35.5,1.2,1.6,6.1
2.5,-2.1,1.4,26.6,0.4,1.7,6.1
6.3,-0.5,1.4,24.3,1.2,1.6,6.1
0.9,-0.8,4.2,72.8,-0.2,1.7,6.1
1.5,-2.7,2.9,59,1.1,1.6,6
4.6,-1.8,2.5,47.4,0,1.6,6
5.9,0.9,2.7,43.5,-0.6,1.6,6
3,1.4,5.5,80.8,0,1.7,6
4.5,1.7,4.7,67.8,1.8,1.6,5.9
9,2.4,4.2,59.4,3.1,1.6,5.9
10.8,4,4.3,56.1,4,1.6,5.9
17.2,6.8,3.6,41,5.2,1.7,5.8
13.7,6.3,4.1,45,5,2,5.8
10.2,4.7,4.5,55.8,5.7,2.7,5.8
12,5.2,2.8,32.8,5.3,3.3,5.8
14,7.8,3.3,31.3,6.5,3.8,5.8
12.8,6.6,3.8,39.5,5.9,4.4,5.9
13,6.6,4.1,42.3,6.9,4.7,6
14.7,7.8,3.7,37.6,5.9,4.8,6.1
16.1,9.4,4.1,36.4,7.7,5.1,6.2
16.3,9.9,5.3,46.1,10.5,5.7,6.3
12.9,8.4,7.1,66.3,8.7,6.2,6.5
12.4,8.4,6.1,55,9.1,6.5,6.6
12.7,7,5,51.1,9.9,6.6,6.7
13.4,6.1,3.6,39.4,8.2,6.6,6.9
14.9,7.2,2.9,31.8,8.4,6.5,7
15.3,10.1,3.1,26.4,10.1,6.7,7.2
10,6.6,5.9,61,8.1,6.7,7.3
7.9,3.9,4.6,55.1,3.3,6.7,7.4
8.5,3.5,2.9,38.5,6.6,6.1,7.5
10,5,3.9,45.3,5.9,5.9,7.5
11.3,5.5,6.3,35,10.9,6.2,7.6
9.2,4.3,5.6,69.9,5.3,6.3,7.7
12.4,6.3,5,55.4,8.8,6.4,7.7
14.4,7.1,4.1,43.8,8.3,6.7,7.7
16.7,10,6.5,52,10.3,7,7.8
14.6,10.3,9.7,79,8.6,7.6,7.8
11.1,7.1,8.1,77.4,8.3,7.9,7.9
8.3,3.3,3,40.9,5.5,7.7,8
8.2,3.3,3.7,46.9,4.1,7.4,8.1
9.7,4.3,3.7,45.4,5.7,6.8,8.2
11.5,7.3,5.7,56.1,5.9,7.1,8.2
17.6,11.4,6.4,51.1,13.1,7.2,8.3
15.4,11.6,8.9,66.4,11.6,8.2,8.3
14.6,9.4,5.6,49.9,12.3,8.7,8.3
15.1,9.2,3.8,33.1,13.3,9,8.4
8.4,5.2,6.3,72,6.9,9.4,8.5
8.4,4.4,3.8,46,5.3,8.8,8.7
11.3,5.5,3.4,39.8,8.1,8.1,8.8
13,6.7,3.4,36.9,10.2,8,8.8
13.6,7.6,3.6,36.1,11.6,8.2,8.9
15.7,9.2,4.7,43,12.4,8.5,8.9
17.2,11.4,5.1,41,14.2,9,9
12.2,9.3,4.7,39.9,8.9,9.5,9.1
20.3,12.6,5.6,43.1,15.1,9.2,9.1
17.2,11.6,3.4,25.6,15.4,9.9,9.2
13.9,9.2,5.2,49.1,10.3,10.2,9.3
10.2,7.1,7.9,78.4,8.6,9.7,9.5
15.7,9.5,6.5,58,10.3,9.4,9.5
18.4,11.4,6,48.5,14.3,9.9,9.6
17.9,11.8,4.2,34,14.7,10.4,9.6
13.6,9.6,5.4,45.5,9.5,10.9,9.8
18.1,11.6,3.9,30.9,13.4,10.3,9.8
22.6,14.9,3.9,26.3,15.9,10.6,9.9
21.8,15.3,6.6,37.5,18,11.2,10
16.2,12.6,10.8,74.4,12.5,11.9,10.2
19.7,13.8,8.6,57.5,17.1,11.7,10.3
19.1,14.3,10.8,66.9,17.5,12,10.4
20.2,14.8,12.9,77.8,18.1,12.6,10.5
28.2,19.3,10.2,50.6,21.6,13,10.6
25.5,20.4,12.2,52,20.3,13.9,10.7
25.9,19.5,15.4,70.4,21,14.5,11
17.2,13.2,11.2,75.9,14,15.3,11.2
9.9,8.4,9.1,82.1,10.2,14.3,11.4
18.2,11.6,6.7,52.6,14.1,13,11.6
16.6,12.9,7.1,48.8,13.9,13.5,11.8
17.3,13,7.8,52.9,12.3,13.4,11.9
22.5,15.5,8.8,52.8,18.1,13.1,11.9
22.2,16.4,9,48.9,20.2,13.7,12
25.3,17.1,5.3,28.5,21.3,14.3,12
26.1,17.9,7.2,37.5,21.9,14.6,12.1
27.4,19.5,8.3,40.4,22.3,15.1,12.3
26.5,19.2,7.2,35.8,23.9,15.6,12.4
19.8,14.5,4.3,27.1,22.8,15.9,12.6
21.9,15,5.5,33.4,22.1,15.8,12.7
21.3,15.6,8.4,48.3,21.3,15.9,12.9
22.9,16.6,7.5,43.3,23.9,16.2,13.1
26.8,17.8,9.2,48,24.4,16.4,13.2
28.3,20.3,9,39,26.4,16.8,13.3
29.6,21.6,9,36,26.8,17.4,13.5
22.8,18.7,9.1,43.4,19.2,17.8,13.7
26.9,19.6,9.7,44.5,25.8,17.3,13.9
28,20.7,11.2,48.1,26.8,17.9,14.1
30,23.5,11.9,43.8,29.9,18.2,14.2
28.3,23.6,12.7,44.9,26.1,18.8,14.4
25.9,22.8,12.8,46.8,28.2,19.1,14.6
