date,tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
2017-04-03,19.2,11.4,5.8,45.6,15.5,9.7,9.2
2017-04-04,21.8,14.1,5.3,35.3,17.5,10.2,9.4
2017-04-05,14.2,12,9.2,66,11,10.9,9.5
2017-04-06,12.4,10.4,11.3,90,11.9,11,9.6
2017-04-07,23.5,14.5,10.8,68.1,16.6,11,9.8
2017-04-08,19.9,13,10.9,74.5,16.5,11.9,9.8
2017-04-09,20.5,14.8,9.5,59.6,17.4,12.4,10
2017-04-10,23.3,16.5,4.4,25.8,19,12.7,10.1
2017-04-11,20.2,15.3,6.5,36.8,17.2,13.1,10.3
2017-04-12,16.4,11.5,2.8,21.8,16.3,13,10.5
2017-04-13,19.6,12.7,7.4,54,16.5,12.6,10.7
2017-04-14,17.7,13,8.6,57.9,12.5,12.7,10.9
2017-04-15,24.3,16.8,10.7,59.4,18.6,12.4,11
2017-04-16,24.4,18.7,10.9,52.9,19.7,13.4,11.1
2017-04-17,18,14.7,10.9,78.5,13.2,14.2,11.3
2017-04-18,17.4,11.7,10.4,76.5,11.2,13.6,11.4
2017-04-19,18.4,12.6,5.9,43.1,15.2,12.8,11.5
2017-04-20,18.2,12.9,6.6,45.4,13.4,13.3,11.7
2017-04-21,19.3,13.1,8.2,56.5,15.9,13,11.8
2017-04-22,22.5,14.8,7.4,48.4,19.9,13.2,11.8
2017-04-23,21.7,14.9,6.2,40,19.3,13.6,12
2017-04-24,21.3,15.1,6.4,39.4,18.3,14,12.1
2017-04-25,20.4,16,10.3,56.8,18.4,14.3,12.2
2017-04-26,20.2,15.1,5.7,36,21.8,14.6,12.3
2017-04-27,19.8,13.6,6,41.8,20.2,14.7,12.4
2017-04-28,21.5,14.4,8.9,57.3,19.1,14.8,12.5
2017-04-29,23.7,17.1,7.8,44.3,22.1,15,12.7
2017-04-30,27.8,19.3,12.4,57.9,24.2,15.6,12.8
2017-05-01,28.3,20.1,10.9,50.8,25.8,16.2,12.9
2017-05-02,28,20.7,9.7,60.1,25.4,16.9,13
2017-05-03,30.2,21.5,8.2,34.1,27.2,17.1,13.2
2017-05-04,27.5,21,10.6,43.6,25.4,17.6,13.4
2017-05-05,27,20.9,13,53.4,28.4,18,13.6
2017-05-06,19.3,14.9,5.4,32,22.3,18.3,13.8
2017-05-07,22.8,16.6,7.4,42.6,23.6,18,14
2017-05-08,23.5,17.9,9,43.6,21.7,18,14.2
2017-05-09,22.6,17.1,12,62.6,19.7,18.1,14.4
2017-05-10,20.8,16.4,12.2,73,18.4,17.7,14.6
2017-05-11,24.8,19.3,14.4,65.3,21.6,17.6,14.7
2017-05-12,21.1,19.1,15.8,71.6,17.6,18.1,14.8
2017-05-13,22.6,16.4,14.3,77.8,17.2,17.6,12.8
2017-05-14,20.7,15.7,9.8,58.3,19.9,17.1,15
2017-05-15,20.1,16,11,61.4,20.7,17.4,15.1
2017-05-16,22.3,17.1,11.4,60.5,22,17.6,15.2
2017-05-17,25.9,18.6,10.6,51.5,25.8,17.7,15.2
2017-05-18,26.9,20.4,9.8,41.9,27.2,18.4,15.2
2017-05-19,27.9,21.1,9.9,42.6,28.9,19,15.3
2017-05-20,27.3,20.9,10.4,44,27.8,19.5,15.4
2017-05-21,27.6,21.5,11.8,48.1,30.6,19.8,15.6
2017-05-22,28,21.8,13.4,53.6,29,20.3,15.7
2017-05-23,24.4,20,15.6,68,23.6,20.6,15.9
2017-05-24,27.8,21.8,15,60.4,27,20.2,16
2017-05-25,24.4,19.2,12.2,45.6,25.9,20.5,16.2
2017-05-26,23.2,17.7,8.2,41.5,26.1,20.2,16.4
2017-05-27,26.4,19.5,9.8,46.1,28.4,20.2,16.5
2017-05-28,27.2,21.2,12.6,50.6,28.3,20.6,16.6
2017-05-29,29.3,22.9,16.6,61.8,29.8,21.1,16.8
2017-05-30,30.3,23.6,11.3,43.5,31.4,21.7,16.9
2017-05-31,29.6,23.3,13.6,49.1,30.7,21.8,17
2017-06-01,27,23.3,14.6,51.8,31.4,22.1,17.2
2017-06-02,25.6,20.5,8.6,37.4,29.1,22.1,17.3
2017-06-03,26.5,20.5,10.2,44,31.2,22.2,17.5
2017-06-04,28.1,21.7,8.9,36.9,30.3,22.3,17.6
2017-06-05,30.3,24.2,9.4,33.3,32.8,22.5,17.8
2017-06-06,23.9,19.4,12.7,60,21.6,23.1,18
2017-06-07,19.2,17.6,18.3,91.4,17.8,21.8,18.2
2017-06-08,26.1,20.1,15.3,67.3,23.1,20.8,18.2
2017-06-09,25.7,21.2,17.3,69.8,23.8,21.4,18.3
2017-06-10,26.4,21.5,10.8,46.8,22.4,21.5,18.4
2017-06-11,29.6,22.8,8.8,33.8,26.8,21.5,18.3
2017-06-12,28,22.1,11.7,45.5,27,22,18.4
2017-06-13,25.9,21.5,15.9,63,28.7,22.3,18.5
2017-06-14,26.8,21.8,15.9,63,30.1,22.5,18.6
2017-06-15,29.6,23.1,16.8,62.4,30.5,22.9,18.7
2017-06-16,32.7,25.5,17.3,55.8,32.5,23.4,18.7
2017-06-17,29.9,24.2,15.3,52.3,32.2,23.8,18.8
2017-06-18,31.8,24.3,14.9,52,32.4,24,19
2017-06-19,30.2,24.8,14.9,50.9,30.4,24.2,19.1
2017-06-20,32.7,26,14.1,43.4,30.3,24.1,19.2
2017-06-21,31.6,25.4,16.4,52.6,34,24.3,19.4
2017-06-22,30.4,25.3,17.9,57.3,34.8,24.7,19.5
2017-06-23,34.1,26.7,17.9,53,34.6,24.9,19.6
2017-06-24,27.8,24.5,18.2,60.4,26.3,25.3,19.9
