tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
30.7,25.3,23.3,73.6,30.5,25.1,20.6
26.8,24.3,27.4,90.5,24.7,25.2,20.7
27.4,24.7,27,87.6,25.1,24.1,22.2
31.6,26.7,25.6,74.5,28.3,24.5,22.2
32.6,27.4,23.8,66.9,27.2,25.1,22
34.6,27.6,25.9,72.3,31.1,25.5,21.8
28.4,26.4,27.7,80.8,26.4,26.1,21.9
27.6,26,27.8,83.3,25.9,25.8,22.2
30.3,26.3,29.8,88,27.4,25.6,22.4
25.4,24,28.7,96.5,24.4,26,22.7
30.9,26,26.9,81.4,27.2,25.3,24.2
31.1,27.1,26.8,75.9,29.2,25.9,23.8
32.1,27.6,25.7,71,29.2,26.2,23.6
33,28.7,26.6,68.4,30.7,26.6,23.3
27.3,25,28,89,25.7,26.8,23.3
28.8,26.2,27.9,83.4,27.1,26.3,23.5
29,26.8,26.9,77.3,28.1,26.4,23.8
30.7,26.5,27.5,80.6,27.5,26.5,23.7
34.1,28.3,26.9,71.4,29.6,26.6,23.7
34.9,29.9,27.4,66.1,33.2,27.1,23.6
32.4,29.8,30.5,73.1,30.7,27.6,23.6
32.5,29.3,30.6,75.8,30.9,27.7,23.6
28.1,27,31.7,89.5,26.7,27.7,23.7
27.3,26.2,27.9,82.3,26.8,27.1,25.2
35.4,29.4,25.4,64.1,31.7,26.9,24.9
32.8,28.7,21.5,55.6,32.5,27.5,24.8
29.7,27.1,22.1,62.5,29,27.8,24.7
26.9,25.5,29.9,92.1,25.9,27.4,24.7
30.1,27.2,25.8,72.3,27.5,26.9,24.6
32.6,27.9,23.8,64.4,29.9,27,24.6
27.1,25.7,27.1,82.3,26.1,27.5,24.6
33,28.6,28,73,29.4,26.9,24.5
33,30,30.2,85.3,30.4,27.5,24.5
33.9,30.2,25.4,60.6,32.8,27.8,24.5
35.3,30.3,25.6,60.1,34.6,28.1,24.4
34.8,31.4,28.7,63,35.8,28.5,24.5
34,29.8,29.9,71.9,32.1,28.7,24.6
34.4,29.2,26.9,68.1,33.6,28.6,24.6
31,28.2,25.3,67.1,30.5,28.7,24.8
32,27.6,24.1,66.4,32,28.4,24.9
26.3,24.8,28.1,89.9,27.4,28.2,25
32.4,27,25.5,72.5,29.4,27.7,24.9
32.6,27.8,22.2,60.3,29.2,27.7,24.9
28.4,26.3,21.1,62.1,27.8,27.8,25
27.1,24.6,20.9,67.5,25.4,27.4,25.1
24,21.9,24.5,93.8,22.9,26.7,25.1
26.8,23.3,22.8,80.5,24.6,25.3,25.5
27.7,24.8,24,77.1,26.1,25.5,25.4
30.6,26.3,25.5,75.6,26.8,25.9,25.2
28.7,26.1,25.4,75.8,26.9,26.1,25
25.8,23.2,27.1,95.6,23.8,26.1,24.9
29.2,25.8,26.9,81.5,26.9,25.3,25.4
31.5,27.3,25.1,70.6,29,25.6,25.2
30.2,27.2,30.3,84.1,27.4,26.2,25.1
28.1,26.5,29.4,85.3,25.7,26.5,25.1
30.6,25.3,19,61.9,25.7,26.2,25.1
29.2,24.2,15.7,54.5,27.3,26,24.9
26.7,22.7,17,62,24.8,25.9,25
26.5,21.5,18.2,73.1,22.6,25.5,24.9
24,19.5,11.4,51.4,22.8,24.9,24.8
23.9,19.8,13.2,55.8,19.7,24.4,24.8
27.6,22.2,16,62.4,24.3,23.9,23.7
29.7,23.3,15.3,56,26.6,23.9,24.5
29.6,23.8,16.9,59,27.2,24.2,24.4
29.2,23.7,18.4,64,25.6,24.4,24.3
30.1,24.6,15.8,53.8,28.6,24.5,24.2
23.7,21.9,16.4,62.4,22.6,24.7,24.2
24,20.6,18.3,75.5,21.5,24.2,24.1
27.5,22.4,19.7,73.3,24.3,23.9,24.1
29.9,24.3,19.6,67.5,27.6,24.1,24
28.2,23.8,20.1,70.1,26.5,24.3,23.9
26.1,23,20.7,74.3,24.3,24.4,23.9
24.6,21.2,19.8,79.8,22.6,24.2,23.9
27.9,22.1,15.2,58.6,23.3,23.7,23.8
27.5,21.4,12.1,49.3,23,23.6,23.7
29.5,22.4,12.7,48.8,23.9,23.3,23.7
27.9,22.6,13,48.4,25,23.4,23.6
27.6,22,13.3,50.9,25.2,23.3,23.6
29.2,23.1,14.2,51.3,26.7,23.4,23.5
27.6,21.9,16.1,62.8,25.8,23.4,23.4
25.8,22.6,21.7,79.1,24.6,23.9,23.4
24.9,19.5,10.8,48.9,20.3,23.3,23.4
27,20.3,12.8,57.3,21.7,22.8,23.3
26.8,20.6,14.4,60.8,22.1,22.6,23.3
27.3,21.8,17.9,69.8,23.3,22.7,23.3
27.9,22.4,19.2,71.5,24.3,22.9,23.2
30.1,23.4,16,58,25.2,23,23.1
31.4,25.1,17.6,57,27,23.1,23.1
27.3,22.7,18.3,66.4,24,23.7,23.1
25.3,19.2,10.6,49.1,23,23.4,23
23.5,17.4,7.5,39.3,20,22.8,23
25.9,20,15.2,64.9,21.1,22.3,23.1
21.2,18.2,15.4,74.8,18.8,22.2,23
29.4,22,15.6,62.3,21.7,21.7,22.9
23.6,17.6,10.1,49.8,18.2,22,22.9
24.3,16.7,9.1,48.5,17.5,21.5,22.8
23.4,18.7,12,56.4,18.7,21.1,22.7
23.3,18.9,14.3,66.4,19.4,21.1,22.6
28.8,21.9,17.3,67.6,23.9,21.1,22.5
28.7,23,18.4,66.9,25.3,21.7,22.4
27.6,22.5,17.6,66,24.9,22.2,22.3
24.8,21.4,19.4,76.9,22.1,22.4,22.3
21.7,15.5,13.8,77.1,17.4,22.2,22.3
16.4,11.4,9.3,71,11.7,21.1,22.3
18.9,12.8,7.3,51,12.8,19.7,22.2
20.5,14.4,6.6,42.8,13.5,19,22.2
23,15.8,7.5,42.5,15.3,18.8,22
