tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
28.9,23.9,18.5,64.4,29.6,23.7,19.8
30.1,24.4,18.7,63.5,30,23.9,19.9
27.4,24.1,19,64.6,26.9,24.1,19.9
32.8,25.4,17.9,59.6,32.8,23.9,20
35,27.6,15,42.1,32,24.4,20.1
36.1,29.7,16.2,40.9,37.1,25,20.2
32.5,26.7,14.7,43.3,33.8,25.6,20.4
31,25.1,14.6,46.6,32.9,25.6,20.6
30,25,14.3,46.4,29.8,25.4,20.6
27.3,22.7,17.1,64.1,26.8,25.3,20.8
25.9,21.9,19.9,76.9,23.2,24.7,21
28.7,23.6,18.7,65.5,26.1,24.2,21
29.7,24.9,20.7,67.3,28.3,24.4,21.1
31.6,25.9,20.8,64.6,29.4,24.5,21.1
27.4,23.8,23.3,80,24.6,25,21.1
28.8,24.7,24.1,79,25.7,24.5,21.3
29.2,25.6,23.9,73.9,26.4,24.7,21.3
32.1,26.9,22.6,65,27.1,24.7,21.3
35,28.6,23.2,61.3,30.9,24.8,21.3
31.9,28,25,66.9,28.4,25.7,21.6
27,25.1,27.7,87.1,26.6,25.5,21.5
31,26.7,25.7,74.6,26.9,25.2,21.5
32.9,28.1,26.4,70.8,29.3,25.4,21.6
27.2,26.5,28.2,82.3,26.5,25.7,21.7
27.4,26.3,30.8,90.1,26.6,25.6,21.7
25.9,25.1,30.2,95.3,25.4,25.5,21.9
33.4,28.4,29,76.6,29.6,25.1,21.8
28.2,26.1,29.7,88.3,26.4,25.9,21.9
30,27.5,27.2,74.5,27.5,25.7,22
30.8,28.4,28.5,75.3,27.2,25.8,22.1
27.5,25.8,30.1,91.1,25.7,26,22.3
30.1,26.3,29.3,86.4,26.7,25.9,23.4
33.1,28.4,28.3,74.6,28.8,26.1,23.4
36,29.4,27.6,69,30.5,26.3,23.1
34.4,28.3,28.6,75.9,29.6,26.9,23
35.9,30.5,27.6,65.5,30.5,27.1,23
36.8,31.6,23.2,51.4,31.7,27.5,23
30.3,26.9,27.4,78.1,27.5,27.9,23.2
32.7,28.9,27.9,71.4,29.7,27.3,23.2
34.6,29.8,28.4,69,30.3,27.3,23.2
36.5,31.5,25.9,57.9,33.1,27.5,23.2
35.7,30.4,22.6,53.6,33.2,27.8,23.3
28.5,26.6,31.8,91.8,26.8,27.7,23.5
35.3,29.2,30.4,76.9,30.7,27.4,24
35.7,30.4,26.8,63.9,30.5,27.7,24
28.6,25.9,27.1,82,27,28.1,24.2
29.5,25.9,24.6,74.5,27.3,27.4,24.2
28.8,25.9,23,75.3,26.9,27.2,24.3
30.7,25.6,21.2,66.5,28.1,26.8,24.3
31.3,26.3,20,60.6,27.2,26.6,24.2
32.8,28.2,21.1,56.3,30.2,26.5,24.2
30.4,27,23.7,67.3,29.2,26.9,24.2
31.4,26.9,22.7,66.5,31.5,26.7,24.1
30.5,26.2,19.3,58.4,31.7,26.9,24.1
27.3,24.1,18.2,60.9,26.7,26.9,24.2
29.9,25,20.5,66.6,30.9,26.1,24.2
32.1,26.4,21.2,63.8,31.5,26.1,24.2
29.3,25.7,22.9,71.1,26.4,26.3,24.2
30.2,26.1,21.9,66.2,27.7,26.2,24.1
26.4,23.4,22,77.1,25.9,26.3,24.1
27,22.6,17.8,66.3,24.1,25.5,24.1
28.9,23.5,18.3,65,25,25.2,24.1
27.8,23.7,18.1,64,23.8,25.3,24
29.7,24.4,16.7,56.6,24.8,25.2,24
28,24.1,20,67.6,26.3,25.3,24
25.5,22.8,24.6,89,23.5,25.4,24
27.6,23,25.4,91.4,23.7,25.1,23.9
29.1,25.3,25.6,79.8,25.5,24.9,24.2
29.5,25.7,23.7,72.9,24.1,25.2,24.1
27.3,24.7,23.6,76.9,25.1,25,24.1
28,25.1,23.4,74.3,25.2,25.1,23.9
26.5,23.8,27.3,93.4,24.4,25.3,23.9
28.7,24.3,21.3,71.4,24.9,25.1,24.1
22.9,21,17.7,72.3,21.9,25.3,24.2
29.3,23.3,16.7,60.4,24.4,24.5,24
24.1,22.4,21.5,80,22.9,24.9,24.1
30,24.2,20.8,70.4,25.2,24.4,23.8
30.5,24.5,15.6,53,27.4,24.7,23.8
29,23.5,11.7,41.6,25.4,24.6,23.7
25.4,21,11.3,46,25.4,24.4,23.6
26,19.5,10.5,46.5,23.3,23.8,23.6
24.2,19.6,12,52.8,21.5,23.5,23.6
22.1,19.6,13.7,60.3,20.8,23.2,23.5
19.6,18.6,13.5,63.4,19.1,22.9,23.5
24.6,20,11.7,51.1,20.2,22.2,23.3
26.5,19.8,13.5,61.3,23,22,23.1
27.4,20.9,15.5,64.4,23.4,22.1,22.4
29,22.9,15.8,59.3,25.1,22.3,23
27,22.9,15.6,57.5,24.4,22.6,22.8
29.2,23.7,16.8,58.9,25.8,22.6,22.6
28.6,22.6,15.8,60.6,24.7,22.8,22.6
29.9,22.4,15.7,61,24.3,22.7,22.6
28.2,23.1,18.7,67.1,24.5,22.8,22.6
24.2,21.6,22.5,88,22.2,23.3,22.7
27.3,22.4,19.4,73.4,22.6,22.9,22.7
27.8,22.4,19.1,71.5,22.9,22.8,22.5
21.9,18.7,15.8,72.6,20.8,23.2,22.7
22.7,18.1,11,53.4,19.1,22.5,22.5
17.9,14.8,15.4,92,16.7,22.6,23
19.8,14.7,9.5,58.8,16.7,21,22.4
20.4,13.6,7.2,48.3,14.1,20.3,22.3
19.8,15.2,10.4,60.9,16,19,22.3
26.1,18.8,12.3,60,18.4,19.4,21.2
23.3,17.9,9.8,49.3,18.2,20,21.9
23.8,17.2,10,52.6,17.8,19.9,21.8
19.6,14.4,9.2,56.9,17.1,19.8,21.6
20.4,14.5,9.1,55.6,14.5,19.3,21.5
