tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
1.6,-4.2,2.9,64,-3.4,2.9,9.8
-1.4,-5,1.6,38.5,-3.9,2.6,9.6
-2,-5.6,1.8,45,-4.9,2.5,9.5
0.3,-3.5,2.5,51.4,-3.3,2.3,9.4
-2.1,-5.5,2.2,52.8,-3.2,2.2,9.3
-1.9,-7.4,1.9,54.6,-4,2,9.2
-8.4,-14.5,1,49.9,-6.1,1.9,9.1
-10.7,-14.9,0.9,44,-9.3,1.7,8.9
-7.5,-12.2,1.1,46.3,-6.2,1.5,8.8
-2.7,-7.7,1.9,54.4,-6.1,1.4,8.7
-4,-6.7,2.3,62.1,-5.5,1.3,8.6
-0.5,-3.9,3.8,79.5,-4.1,1.2,8.4
8.3,2,5.7,80.3,0,1.2,8.3
7,1.7,3.1,46.5,-0.2,1.2,8.2
9.9,4.5,5.9,67.4,0.7,1.2,8.1
-0.7,-4.9,2.6,59.3,-1.6,1.2,7.9
-1.3,-5.5,2.5,58.5,-3.9,1.2,7.8
0.2,-3.8,3.1,64.3,-3.3,1.2,7.7
-0.2,-6.3,1.4,37.9,-4.8,1.1,7.6
7.1,-0.1,2.3,37.8,-2,1,7.6
7,4.5,5.5,64.4,0.7,1,7.5
6.6,5.5,8.4,92.9,1.9,1,7.4
12.2,7.6,6.8,66,3.6,1.1,7.3
13.9,7.3,6.4,63.9,3,1.1,7.2
13.9,5.3,6.4,62,3.3,1.1,7.1
7.4,5.3,7.1,80.4,2,1.1,7.1
6.5,1.7,3.2,47.6,1.6,1.1,7
1.4,-2.6,2.8,52.3,-0.3,1.1,6.9
-4.9,-8.8,1.3,40,-1.7,1.2,6.9
5.2,-1.6,3.3,60,-0.3,1.3,6.8
8.7,3.2,4.3,57,0.1,1.4,6.8
9.5,5,6.9,74.5,1.6,1.5,6.8
-2.4,-5.6,1.8,44.1,-0.6,1.5,6.7
1.4,-3.2,3.3,64.6,-1.4,1.5,6.7
0.7,-3.6,2.3,50.1,-0.3,1.6,6.7
6.7,1.4,5,71.8,0.2,1.6,6.7
9.5,6.8,8,80.4,2.2,1.6,6.6
7.7,3.6,5.4,67,3.2,1.7,6.6
0.2,-3.1,2.1,43.6,0.2,2.2,6.6
4.7,-0.9,2.9,51.9,0.5,2,6.6
7.2,3.4,5.9,75.1,0.7,1.9,6.6
10.9,5.5,6.3,71.5,2.8,2,6.5
14,6.5,5.6,60.6,4.2,2.6,6.5
15.9,7.6,5,50.6,4.5,3.2,6.5
13.8,9.5,5.6,47.6,5.6,3.7,6.5
8.2,1.2,4.6,65.1,3.7,4.4,6.6
-1.3,-5.1,2.4,57.9,-1.7,4.2,6.6
-5.2,-8.3,1.4,44.1,-2.1,3.2,6.7
-0.4,-5.8,1.8,44.9,-1.3,2.7,6.8
