tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
0.3,-2.2,3.4,64.4,-0.9,4.1,9.8
3.8,1,4.3,65.4,0.1,3.7,9.7
4.6,-0.1,3.3,56.9,-0.4,3.6,9.6
6.1,1.2,3.3,50.8,0,3.6,9.5
6.6,1.3,3,45.6,-0.5,3.5,9.3
4.6,3.1,5,65.4,1,3.4,9.2
7.7,6.3,9.1,95,5.1,3.7,9.2
8.9,2.4,6.3,86.1,4,4.4,9
2,-1.2,3.7,65.3,1.3,4.5,8.1
4.2,-0.6,3.6,62.9,0.2,4.2,8.1
3.9,-0.1,3.6,60.9,0.1,3.8,8.2
2.8,-1,3.5,61.5,0.4,3.6,8.2
0.2,-2.9,2.5,51,-1.3,3.5,8.2
2.6,-2.3,2.3,45.3,-1.6,3.2,8.2
2.2,-2.7,2.2,44.8,-2,3,8.2
3.2,-1.7,2.3,43,-1.6,2.9,8.2
4.9,-0.6,2.5,43.9,-0.8,2.7,8.1
5.9,0.3,2.9,48.1,-0.6,2.7,8
4.5,1.9,4.4,62.8,0.5,2.6,7.9
5.5,0.7,3,46.8,-0.1,2.5,7.8
5.5,-0.4,2.1,36.9,-0.8,2.5,7.8
7.8,3,2.7,36,1.3,2.5,7.7
9.9,4.6,4.1,49.3,2.2,2.5,7.7
7.4,2.8,4.6,63,1.9,2.6,7.6
8.8,4.3,5.2,63.1,2.4,4,7.6
11.9,5.5,4.8,56.3,3.5,3.2,7.5
7.5,5.9,4.5,48.1,3.6,3.7,7.5
9.9,6.8,4.8,49.4,4.6,4,7.4
9.6,6,4.3,46.4,3.7,4.2,7.4
10.4,5.2,4.1,47,3,4.5,7.4
8.9,3.9,4.8,59.6,2.8,4.6,7.5
7.6,2.6,4.9,66.6,2.3,4.6,7.5
5.3,1.5,3.4,52.3,1.9,4.4,7.6
3,-0.4,2.6,43.6,2.3,4.3,7.5
3.9,-1.6,2.9,50.3,0.3,4.1,7.6
-4.9,-8.3,1.2,37.3,-2.5,3.7,7.6
0.4,-6.4,1.4,36.4,-2.7,3.2,7.6
2.2,-1.7,2.5,45.1,-0.4,2.9,7.6
3.7,-0.1,2.9,48.1,1.4,2.7,7.5
4.1,-0.5,3,51.1,0.5,2.6,7.4
9.6,4,3.8,49.4,3.4,2.6,7.3
14.6,6.8,3.4,37,0.6,2.9,7.2
8.2,7.4,7.6,73.4,5.8,3.6,7.2
8.7,6.5,8.2,84.8,6.6,4.4,7.2
14.7,8.1,7.3,70.3,6.9,4.9,7.1
15.6,9.8,7.4,63,6.6,5.5,7.1
7.7,-1.4,4.6,81.1,2.2,6,7.2
-3.9,-5.9,2.6,64.3,0.3,5.3,7.5
1.3,-4.1,2,44,-0.1,4.6,7.4
6.4,1,3.7,56.8,1.8,4.1,7.5
10.8,4.6,5.1,62.6,4,4,7.5
10.9,6.7,6.5,66.3,4.4,4.4,7.4
7.9,4,5.1,62,4.2,4.9,7.4
8,2.5,3.4,48.6,3.6,5,7.4
12.2,7,5.2,51.8,6.1,5,7.4
9.4,6.7,7.2,73.5,6,5.7,7.5
10.4,6.4,5.6,59.6,5.4,5.7,7.4
12.5,6.1,4.9,54,6,5.9,7.4
5.9,4.5,6.7,79.4,4.7,6.2,7.4
13,7.7,6.9,68.6,8.4,6,7.5
10.1,5.8,6.6,71.8,5.5,6.6,7.5
7.6,3.4,4.2,55.3,5,6.7,7.6
10.5,4.8,4.9,57,3.7,6.5,7.7
4.6,2.2,3.9,53.4,4,6.5,7.8
6.3,1.4,3.1,47.5,3.8,6.1,7.9
10.1,3.7,3.5,46.8,4.5,5.9,7.9
14.2,7,3.8,41.8,7,5.9,7.9
16.9,9.3,4.7,43.8,8.6,6.3,7.9
17.6,11.1,4.7,37.6,9.7,6.8,7.9
10.8,6.4,7.6,78.4,6.5,7.7,8.1
8.3,3.8,3.3,41.8,4.8,7.3,8.1
13.3,6.8,4.6,49.8,5.5,7,8.1
8.7,4.9,3.6,41,7.7,7.2,8.2
8.6,3.6,3.9,48.1,5.6,7.2,8.2
8.5,4,3.8,48.3,6.2,7.1,8.3
9.1,3.6,3.2,42.4,6.1,6.9,8.4
12.3,6.6,6.4,65.8,7.5,7.1,8.5
17,10,4.9,45.8,9.8,7.1,8.4
12.1,9.1,5.8,49,9.9,7.8,8.6
14,8.8,4.2,39.6,9.9,7.9,8.5
19.5,12.8,8.4,56.5,13.9,8.3,8.6
16.5,11,4.5,37.5,13.6,9.1,8.6
17,10.6,4.8,37.9,12.6,9.5,8.7
17.9,11.4,4.4,35,13.2,9.7,8.8
19.2,12.5,4.7,33.6,13.9,9.9,9
20.6,14.8,8.9,53.8,13.5,10.2,9.1
15.8,11.9,8.1,56.4,14.4,10.7,9.3
12.8,7.7,1.8,17.9,10.8,10.9,9.4
16.1,8.7,4.3,30.6,11.8,10.4,9.5
